-0.6104572685,0.3875056707,-0.6447027816,-0.8895409663,-0.4708740235,-0.8043696008,-0.6456384457,2.003047844,-0.7767737479,-1.915955657,-1.050087246,0.9084073602,0.2032923273
-0.6593403899,0.4139521881,-0.6447027816,-0.6667733578,-0.5211413963,-0.9690484415,-0.0334515341,1.0883215449,-0.7588404142,-1.5783180017,-1.0765344258,1.0385564009,0.9647559183
-0.682829682,0.385912507,-0.6447027816,-0.7169844696,-0.543502985,-0.8263892466,-0.523913781,1.629707448,-0.7998308912,-1.8582183628,-0.9997481694,1.0694903758,1.5475086666
-0.7656770501,0.3675911245,-0.6447027816,-0.6299990224,-0.5773225777,-1.0245660593,-0.4016264445,1.6593376382,-0.8331356538,-2.0276647698,-1.1644361636,1.0053589645,1.5086584834
-0.6799728762,0.4028000422,-0.6447027816,-0.5925174883,-0.5865629036,-1.0796151739,-0.1349200142,0.9435569016,-0.861957083,-1.7239163958,-1.1317285402,1.1152625988,1.2677873474
-0.637755635,0.420802792,-0.6447027816,-0.5536215566,-0.5719631887,-0.9400012491,-0.488465458,1.0129762042,-0.6448356498,-1.8544528871,-1.0692518691,1.3893929454,0.2654526205
-0.6056959255,0.4222366393,-0.6447027816,-0.5557431529,-0.5259463658,-0.8601214701,-0.6462011175,1.0409132407,-0.639071364,-1.9900100127,-1.1209963513,0.9760597118,-0.0220387353
-0.5047554541,0.453144015,-0.6447027816,-0.6010038734,-0.4932356122,-0.6003364994,0.3116538328,0.4622779556,-0.4123427877,-1.708854493,-0.9699791216,0.8695512698,-0.3950004942
-0.0822656192,0.4357785307,-0.6447027816,-0.8308434695,0.0266251222,1.1633434324,-0.1557388706,1.0468392787,0.568866757,-1.8506874114,-0.0011435436,-0.2494789844,-1.117613902
-0.0533801384,0.4308397232,-0.6447027816,-1.004107165,1.2393254916,0.2942701761,-0.4321982786,1.7135185573,-0.1689618302,-2.2987790209,-0.2960232105,-0.1481262049,-1.1486940486
-0.4628556357,0.4421511855,-0.6447027816,-0.7092052832,-0.4597856324,-0.8540309297,-0.1572393287,1.1399627335,-0.7754927955,-1.9937754884,-0.8993255445,1.0659694356,0.5684840496
